Edad,Ingreso_Mensual,Deuda_Total,Historial_Credito,Numero_Prestamos,Ratio_Deuda_Ingreso,Ingreso_Anual,Riesgo_Financiero,Moroso,Ingreso_Mensual_Normalizado,Deuda_Total_Normalizada
60,4971,1148,Bueno,0,0.23093944880305772,59652,Bajo,0,0.34913872939433227,0.013058419243986255
64,6153,37659,Bueno,0,6.120429058995612,73836,Alto,1,0.4586034450824226,0.7511016777845159
66,7275,40025,Bueno,3,5.501718213058419,87300,Alto,1,0.5625115762178181,0.7989286436223975
19,4261,24036,Malo,0,5.640929359305328,51132,Alto,1,0.28338581218744213,0.47572266019809983
62,8125,28566,Regular,0,3.515815384615385,97500,Alto,1,0.6412298573809966,0.5672933090762078
63,8066,30679,Bueno,2,3.803496156707166,96792,Alto,1,0.6357658825708465,0.6100060642813827
26,6659,37337,Malo,1,5.606998047754918,79908,Alto,1,0.50546397481015,0.7445926824337983
58,10104,35568,Malo,3,3.5201900237529693,121248,Alto,1,0.8245045378773848,0.7088336365474025
58,2118,36711,Bueno,2,17.3328611898017,25416,Alto,1,0.08492313391368773,0.7319385486153225
66,9967,44186,Regular,7,4.4332296578709744,119604,Alto,1,0.8118170031487313,0.8830402263998383
38,3471,3903,Bueno,6,1.1244598098530683,41652,Alto,1,0.2102241155769587,0.06874873660804527
61,8850,44898,Regular,2,5.073220338983051,106200,Alto,1,0.7083719207260605,0.8974327875480089
51,9485,18845,Bueno,6,1.9868212967843963,113820,Alto,1,0.7671791072420819,0.3707903780068728
43,1768,14443,Malo,3,8.169117647058824,21216,Alto,1,0.05250972402296723,0.28180715585203153
26,11883,32870,Bueno,4,2.766136497517462,142596,Alto,1,0.9892572698647899,0.6542955326460481
19,11294,37384,Malo,5,3.3100761466265274,135528,Alto,1,0.9347101315058344,0.7455427531837477
49,5408,29946,Malo,2,5.537352071005917,64896,Alto,1,0.38960918688646046,0.5951890034364261
38,9018,24796,Bueno,4,2.7496118873364384,108216,Alto,1,0.7239303574736062,0.49108550636749543
35,5430,14891,Regular,6,2.7423572744014733,65160,Alto,1,0.3916466012224486,0.2908631493834647
30,11131,43731,Bueno,4,3.9287575240319828,133572,Alto,1,0.9196147434710131,0.8738427329694765
54,7559,11933,Bueno,0,1.5786479693081095,90708,Alto,1,0.5888127431005742,0.23106933495047505
52,7633,12253,Regular,0,1.6052666055286258,91596,Alto,1,0.595665864048898,0.2375379017586416
51,5102,42942,Malo,2,8.41669933359467,61224,Alto,1,0.36127060566771624,0.8578936729330908
57,8833,8373,Bueno,7,0.9479225631155893,105996,Alto,1,0.7067975551027968,0.15910652920962198
54,7786,2251,Malo,4,0.2891086565630619,93432,Bajo,1,0.6098351546582701,0.035354760460885384
20,2300,41258,Bueno,4,17.938260869565216,27600,Alto,1,0.1017781070568624,0.8238528401051142
50,2294,49492,Regular,4,21.574542284219703,27528,Alto,1,0.1012224486015929,0.9902971497877502
62,10107,41809,Bueno,7,4.136637973681607,121284,Alto,1,0.8247823671050195,0.834990903577926
61,9348,14591,Bueno,0,1.5608686350021395,112176,Alto,1,0.7544915725134285,0.28479886800080856
33,3875,22468,Bueno,2,5.798193548387097,46500,Alto,1,0.24763845156510467,0.44402668283808366
44,6148,12719,Regular,0,2.0688028627195836,73776,Alto,1,0.4581403963696981,0.24695775217303415
53,6882,47259,Regular,0,6.867044463818657,82584,Alto,1,0.5261159473976663,0.9451586820295128
54,1287,33677,Malo,1,26.167055167055167,15444,Alto,1,0.00796443785886275,0.6706084495653932
61,9178,23197,Malo,5,2.527456962301155,110136,Alto,1,0.7387479162807928,0.4587628865979381
47,3381,33192,Bueno,1,9.817213842058562,40572,Alto,1,0.20188923874791626,0.6608045279967657
64,8926,33456,Bueno,1,3.7481514676226753,107112,Alto,1,0.715410261159474,0.6661410956135031
55,7003,9136,Malo,2,1.3045837498215052,84036,Alto,1,0.537321726245601,0.17453001819284414
58,6982,49585,Regular,6,7.101833285591521,83784,Alto,1,0.5353769216521579,0.9921770770163736
59,4112,7748,Bueno,5,1.8842412451361867,49344,Alto,1,0.26958696054824965,0.14647260966242168
48,10218,45214,Bueno,0,4.424936386768448,122616,Alto,1,0.8350620485275051,0.9038204972710734
57,7574,20667,Malo,4,2.728677053076314,90888,Alto,1,0.590201889238748,0.4076207802708712
51,3681,38150,Malo,6,10.364031513175767,44172,Alto,1,0.22967216151139097,0.7610268849807964
67,10254,41324,Bueno,4,4.030037058708796,123048,Alto,1,0.8383959992591221,0.8251869820092985
21,6010,36263,Regular,5,6.033777038269551,72120,Alto,1,0.44536025189849976,0.7228825550838892
60,4553,3091,Bueno,5,0.6788930375576543,54636,Alto,0,0.31042785701055753,0.05233474833232262
60,5315,46863,Bueno,6,8.817121354656631,63780,Alto,1,0.38099648082978327,0.9371538306044067
69,6931,37131,Bueno,6,5.357235608137354,83172,Alto,1,0.5306538247823671,0.7404285425510411
67,2204,4119,Bueno,0,1.868874773139746,26448,Alto,1,0.09288757177255048,0.0731150192035577
56,3299,40568,Regular,5,12.29705971506517,39588,Alto,1,0.1942952398592332,0.8099049929250051
69,4200,48581,Regular,7,11.566904761904762,50400,Alto,1,0.2777366178922023,0.971881948655751
34,3835,18334,Bueno,5,4.780704041720991,46020,Alto,1,0.24393406186330802,0.3604608853850818
61,2275,45893,Regular,3,20.172747252747254,27300,Alto,1,0.0994628634932395,0.9175459874671518
47,2111,12796,Malo,4,6.061582188536239,25332,Alto,1,0.08427486571587332,0.24851425106124922
62,3705,43826,Regular,5,11.828879892037786,44460,Alto,1,0.23189479533246898,0.8757630887406509
41,5816,4263,Malo,7,0.7329779917469051,69792,Alto,1,0.4273939618447861,0.07602587426723266
68,3685,2319,Malo,7,0.6293080054274084,44220,Alto,1,0.23004260048157066,0.03672933090762078
48,6394,46276,Malo,6,7.237410071942446,76728,Alto,1,0.4809223930357474,0.9252880533656762
22,1206,17632,Bueno,1,14.620232172470978,14472,Alto,1,0.00046304871272458137,0.34627046694966646
46,1588,45165,Regular,3,28.441435768261965,19056,Alto,1,0.03583997036488239,0.9028299979785729
18,3050,48049,Bueno,7,15.753770491803278,36600,Alto,1,0.17123541396554914,0.9611279563371741
33,11543,38000,Regular,2,3.292038464870484,138516,Alto,1,0.9577699573995184,0.7579947442894683
60,8059,42850,Bueno,6,5.317036853207594,96708,Alto,1,0.635117614373032,0.8560339599757428
45,4063,30681,Bueno,5,7.551316761014029,48756,Alto,1,0.2650490831635488,0.6100464928239338
34,4269,30647,Bueno,3,7.17896462871867,51228,Alto,1,0.28412669012780145,0.609359207600566
55,6336,41584,Regular,3,6.563131313131313,76032,Alto,1,0.47555102796814225,0.830442692540934
52,11296,43649,Malo,4,3.8641111898016995,135552,Alto,1,0.9348953509909244,0.8721851627248838
19,4705,29317,Bueno,7,6.231030818278427,56460,Alto,1,0.3245045378773847,0.5824742268041238
52,10765,14886,Malo,5,1.3828146771946122,129180,Alto,1,0.8857195776995741,0.2907620780270871
61,10360,24181,Regular,7,2.334073359073359,124320,Alto,1,0.8482126319688832,0.4786537295330503
35,11489,16486,Malo,2,1.4349377665593177,137868,Alto,1,0.9527690313020931,0.3231049120679199
40,3050,34399,Malo,0,11.278360655737705,36600,Alto,1,0.17123541396554914,0.685203153426319
57,1599,45997,Bueno,4,28.766103814884303,19188,Alto,1,0.03685867753287646,0.9196482716798059
54,6090,38966,Regular,1,6.398357963875205,73080,Alto,1,0.45276903130209295,0.7775217303416212
56,5016,49934,Bueno,5,9.95494417862839,60192,Alto,1,0.3533061678088535,0.9992318576915302
23,4197,42103,Bueno,7,10.031689301882297,50364,Alto,1,0.2774587886645675,0.8409338993329291
38,9729,15477,Malo,5,1.5908109774899784,116748,Alto,1,0.7897758844230414,0.30270871235091973
27,6933,4194,Bueno,2,0.6049329294677629,83196,Alto,0,0.530839044267457,0.07463108954922175
30,5780,736,Bueno,2,0.1273356401384083,69360,Bajo,0,0.4240600111131691,0.0047301394784718
41,10284,19121,Regular,3,1.8592959937767406,123408,Alto,1,0.8411742915354696,0.3763695168789165
33,6855,36771,Bueno,3,5.364113785557987,82260,Alto,1,0.5236154843489536,0.7331514048918537
36,11814,14176,Bueno,5,1.1999322837311663,141768,Alto,1,0.9828671976291907,0.2764099454214675
52,5272,11690,Bueno,3,2.2173748103186646,63264,Alto,1,0.3770142619003519,0.22615726703052355
28,9881,1909,Bueno,6,0.1931990689201498,118572,Bajo,0,0.8038525652898686,0.02844147968465737
59,10554,40585,Regular,4,3.8454614364222097,126648,Alto,1,0.8661789220225968,0.8102486355366889
30,2525,21897,Bueno,0,8.672079207920792,30300,Alto,1,0.12261529912946843,0.43248433393976143
37,8511,21272,Malo,3,2.499353777464458,102132,Alto,1,0.676977218003334,0.4198504143925611
20,10177,6506,Bueno,4,0.6392846614915987,122124,Alto,0,0.8312650490831636,0.12136648473822519
42,8620,10394,Bueno,7,1.205800464037123,103440,Alto,1,0.6870716799407298,0.19995957145744897
61,4035,16640,Bueno,1,4.123915737298637,48420,Alto,1,0.26245601037229116,0.32621790984435006
48,11001,10326,Malo,1,0.9386419416416689,132012,Alto,1,0.9075754769401743,0.19858500101071355
56,11128,3959,Bueno,6,0.3557692307692308,133536,Bajo,0,0.9193369142433785,0.06988073579947442
47,9675,27728,Regular,3,2.8659431524547805,116100,Alto,1,0.784774958325616,0.5503537497473217
26,7566,48540,Regular,5,6.415543219666931,90792,Alto,1,0.5894610112983887,0.9710531635334546
25,4147,39123,Malo,0,9.43404870991078,49764,Alto,1,0.27282830153732174,0.7806953709318779
46,2495,29708,Bueno,5,11.907014028056112,29940,Alto,1,0.11983700685312094,0.5903780068728522
32,4328,41646,Bueno,4,9.622458410351202,51936,Alto,1,0.2895906649379515,0.8316959773600162
39,11578,47091,Bueno,4,4.06728277768181,138936,Alto,1,0.9610112983885906,0.9417626844552254
37,1252,30177,Bueno,6,24.10303514376997,15024,Alto,1,0.004723096869790708,0.5998585001010713
42,3424,833,Bueno,4,0.24328271028037382,41088,Bajo,0,0.20587145767734766,0.00669092379219729
45,8301,24417,Bueno,7,2.9414528370075894,99612,Alto,1,0.6575291720689017,0.4834242975540731
52,4841,18905,Regular,2,3.905184879157199,58092,Alto,1,0.33709946286349324,0.37200323428340404
43,7162,25364,Bueno,0,3.541468863445965,85944,Alto,1,0.5520466753102427,0.5025672124519911
66,11001,22084,Malo,4,2.0074538678301974,132012,Alto,1,0.9075754769401743,0.43626440266828376
65,10731,19261,Malo,0,1.7948932997856677,128772,Alto,1,0.882570846453047,0.3791995148574894
18,2276,45400,Bueno,2,19.947275922671352,27312,Alto,1,0.09955547323578441,0.9075803517283202
50,11613,47750,Regular,2,4.111771290794799,139356,Alto,1,0.9642526393776625,0.9550838892257935
38,2539,14245,Malo,2,5.610476565576999,30468,Alto,1,0.12391183552509726,0.27780473013947843
68,8838,10232,Regular,1,1.1577279927585427,106056,Alto,1,0.7072606038155215,0.19668485951081463
67,3945,42414,Malo,3,10.751330798479087,47340,Alto,1,0.2541211335432487,0.8472205376996159
32,6368,5074,Bueno,0,0.7967964824120602,76416,Alto,1,0.4785145397295795,0.0924196482716798
67,11760,38149,Bueno,4,3.2439625850340135,141120,Alto,1,0.9778662715317652,0.7610066707095209
46,9446,18877,Regular,2,1.9984120262544993,113352,Alto,1,0.7635673272828302,0.37143723468768947
66,10202,36246,Malo,6,3.552832777886689,122424,Alto,1,0.8335802926467865,0.7225389124722054
50,11996,1076,Bueno,1,0.08969656552184062,143952,Bajo,0,0.9997221707723654,0.011602991712148776
53,4496,42845,Malo,5,9.529581850533807,53952,Alto,1,0.3051491016854973,0.8559328886193652
57,6132,17620,Malo,7,2.873450750163079,73584,Alto,1,0.4566586404889795,0.3460278956943602
28,3298,14011,Bueno,4,4.24833232261977,39576,Alto,1,0.19420263011668826,0.27307459066100664
46,4536,48979,Bueno,1,10.79783950617284,54432,Alto,1,0.30885349138729395,0.9799272286234081
20,7846,33683,Malo,2,4.293015549324497,94152,Alto,1,0.615391739210965,0.6707297351930464
28,5411,8605,Bueno,0,1.5902790611716873,64932,Alto,1,0.3898870161140952,0.16379624014554275
44,8882,27842,Malo,1,3.1346543571267733,106584,Alto,1,0.7113354324874978,0.552658176672731
58,2687,49270,Regular,0,18.33643468552289,32244,Alto,1,0.13761807742174476,0.9858095815645846
43,5843,2637,Bueno,3,0.45130925894232415,70116,Bajo,0,0.42989442489349877,0.043157469173236304
34,10900,31745,Bueno,7,2.9123853211009174,130800,Alto,1,0.8982218929431376,0.6315544774610875
31,4946,24860,Bueno,6,5.026283865750101,59352,Alto,1,0.3468234858307094,0.49237921972912874
46,11442,35234,Malo,6,3.079356755811921,137304,Alto,1,0.948416373402482,0.7020820699413787
20,8504,36775,Bueno,1,4.324435559736594,102048,Alto,1,0.6763289498055196,0.7332322619769558
30,6852,23111,Regular,7,3.3728838295388206,82224,Alto,1,0.5233376551213188,0.45702445926824337
55,4448,8360,Bueno,0,1.879496402877698,53376,Alto,1,0.30070383404334133,0.15884374368304022
58,6693,31604,Bueno,0,4.721948304198416,80316,Alto,1,0.5086127060566772,0.6287042652112391
41,2370,2358,Bueno,2,0.9949367088607595,28440,Alto,1,0.10826078903500648,0.03751768748736608
55,9971,49733,Regular,0,4.987764517099589,119652,Alto,1,0.8121874421189109,0.9951687891651506
20,6144,11017,Bueno,5,1.7931315104166667,73728,Alto,1,0.45776995739951837,0.21255306246209824
44,3298,43997,Bueno,6,13.340509399636144,39576,Alto,1,0.19420263011668826,0.8792197291287649
53,5426,10982,Bueno,1,2.023958717287136,65112,Alto,1,0.39127616225226897,0.21184556296745502
47,10309,47212,Malo,4,4.5796876515665925,123708,Alto,1,0.8434895350990925,0.9442086112795633
69,3926,42434,Malo,0,10.808456444218034,47112,Alto,1,0.25236154843489533,0.8476248231251263
63,5480,14207,Bueno,6,2.5925182481751823,65760,Alto,1,0.3962770883496944,0.27703658783100865
23,10332,31035,Malo,6,3.0037746806039487,123984,Alto,1,0.8456195591776255,0.617202344855468
34,2381,38342,Bueno,0,16.10331793364133,28572,Alto,1,0.10927949620300055,0.7649080250656964
59,6209,37793,Regular,5,6.086809470124013,74508,Alto,1,0.4637895906649379,0.7538103901354356
23,11748,44276,Bueno,6,3.7688117126319374,140976,Alto,1,0.9767549546212262,0.8848595108146351
44,7076,29368,Regular,1,4.150367439231204,84912,Alto,1,0.54408223745138,0.5835051546391753
31,7364,6490,Regular,0,0.8813145029875068,88368,Alto,1,0.5707538433043157,0.12104305639781686
32,3815,23586,Regular,7,6.182437745740498,45780,Alto,1,0.2420818670124097,0.4666262381241156
68,11630,30184,Malo,6,2.5953568357695613,139560,Alto,1,0.9658270050009261,0.6
28,10641,696,Regular,3,0.06540738652382296,127692,Bajo,0,0.8742359696240045,0.00392156862745098
28,3051,9779,Regular,5,3.2051786299573912,36612,Alto,1,0.17132802370809408,0.18752779462300384
24,6412,5572,Regular,7,0.868995633187773,76944,Alto,1,0.4825893684015558,0.10248635536688902
31,3752,23489,Regular,7,6.260394456289979,45024,Alto,1,0.23624745323208002,0.4646654538103901
63,8861,5196,Bueno,2,0.5863897979911974,106332,Bajo,0,0.7093906278940545,0.0948857893672933
60,10306,10170,Malo,1,0.9868038036095479,123672,Alto,1,0.8432117058714578,0.19543157469173236
39,11560,49946,Regular,0,4.320588235294117,138720,Alto,1,0.959344323022782,0.9994744289468365
37,1690,8817,Bueno,3,5.217159763313609,20280,Alto,1,0.0452861641044638,0.16808166565595312
59,11941,9916,Bueno,3,0.8304162130474835,143292,Alto,1,0.994628634932395,0.19029714978775014
26,6936,18050,Bueno,7,2.6023644752018456,83232,Alto,1,0.5311168734950917,0.354720032342834
24,6944,41094,Bueno,6,5.9179147465437785,83328,Alto,1,0.5318577514354511,0.8205376996159288
46,11890,29490,Malo,5,2.4802354920100926,142680,Alto,1,0.9899055380626043,0.5859712957347888
55,1891,32483,Bueno,1,17.177683765203597,22692,Alto,1,0.06390072235599185,0.6464726096624217
44,10262,26898,Regular,1,2.6211264860650947,123144,Alto,1,0.8391368771994815,0.5335759045886396
64,2164,23632,Malo,0,10.920517560073938,25968,Alto,1,0.08918318207075386,0.4675560946027895
67,8102,9206,Malo,7,1.1362626511972354,97224,Alto,1,0.6390998333024634,0.1759450171821306
67,6591,42968,Bueno,2,6.519192838719466,79092,Alto,1,0.4991665123170958,0.8584192439862544
44,8471,42831,Malo,5,5.056191712902845,101652,Alto,1,0.6732728283015373,0.8556498888215079
42,5127,18183,Regular,6,3.54651843183148,61524,Alto,1,0.36358584923133913,0.3574085304224782
57,8539,23318,Bueno,1,2.730764726548776,102468,Alto,1,0.6795702907945916,0.4612088134222761
37,4134,26403,Bueno,2,6.386792452830188,49608,Alto,1,0.2716243748842378,0.523569840307257
28,5603,22226,Bueno,3,3.966803498126004,67236,Alto,1,0.407668086682719,0.43913482918940766
69,8835,21052,Malo,7,2.382795698924731,106020,Alto,1,0.7069827745878867,0.4154032747119466
